Aldabrachelys,0.05775,0.00957,0.04819,0.02682,0.00500,0.02182
Astrochelys,0.05696,0.00936,0.04760,0.02826,0.00500,0.02326
Chelonoidis,0.18253,0.05756,0.12497,0.32325,0.26505,0.05820
Cylindraspis,0.05879,0.00953,0.04926,0.10700,0.13913,-0.03213
Geochelone,0.05769,0.01073,0.04696,0.03127,0.00500,0.02627
Gopherus,0.05908,0.00965,0.04943,0.10655,0.12537,-0.01882
Homopus,0.05660,0.00939,0.04721,0.09927,0.10066,-0.00139
Indotestudo,0.05781,0.00924,0.04857,0.04714,0.06961,-0.02248
Kinixys,0.05827,0.01190,0.04637,0.15282,0.11897,0.03385
Manouria,0.06173,0.00969,0.05204,0.02720,0.00500,0.02220
Psammobates,0.05417,0.00969,0.04448,0.10865,0.17861,-0.06995
Pyxis,0.05663,0.00965,0.04698,0.02939,0.00500,0.02439
Testudo,0.05554,0.00927,0.04627,0.08171,0.08547,-0.00377
